sc,StarCraft
scbw,StarCraft Brood War
tribes,Starsiege Tribes
smania,Stepmania CVS
slife,StillLife
shold,Stronghold
shold2,Stronghold 2
sholdc,Stronghold Crusader
sholdleg,Stronghold Legends
stz,Stubbs the Zombie
ss2,Sudden Strike II
spower2,Superpower 2
supcomb,Supreme Commander
hlsc,Sven Co-op
swat4,SWAT 4
swat4tss,SWAT 4 - The Stetchkov Syndicate
swat4mpd,SWAT 4 MP Beta
sots,Sword of the Stars
sotsd,Sword of the Stars Demo
sshock2,System Shock 2
tacops,Tactical Ops
tocurl,Take-Out Weight Curling
tocurl2,Take-Out Weight Curling 2
hltfc15,Team Fortress Classic 1.5
hltfc,Team Fortress Classic 1.6
tspeak,TeamSpeak
btale,The Bard's Tale
riddick,The Chronicles of Riddick: Escape from Butcher Bay
comi,The Curse of Monkey Island
tdvc,The Da Vinci Code
godfthr,The Godfather
guild2,The Guild 2
tlj,The Longest Journey
bfme,The Lord of the Rings - The Battle for Middle-Earth
bfme2wk,"The Lord of the Rings, The Rise of the Witch-king"
mtpon,The Matrix - The Path of Neo
tmo,The Matrix Online
movies,The Movies
moviesse,The Movies Stunts & Effects
pun,The Punisher
ryzom,The Saga of Ryzom
s210th,The Settlers II - 10th Anniversary
settlers4,The Settlers IV
hoks,The Settlers: Heritage of Kings
hoksdem,The Settlers: Heritage of Kings Demo
ship,The Ship
tshr,The Simpsons Hit & Run
sims,The Sims
sims2,The Sims 2
sims2ffs,The Sims 2 Family Fun Stuff
sims2gls,The Sims 2 Glamour Life Stuff
sims2n,The Sims 2 Nightlife
sims2ofb,The Sims 2 Open for Business
sims2p,The Sims 2 Pets
sims2s,The Sims 2 Seasons
sims2u,The Sims 2 University
simsls,The Sims Life Stories
tso,The Sims Online
csts,The Specialists
tsttb,The Suffering Ties That Bind
toee,The Temple of Elemental Evil
woool,The World of Legend
there,There
thief,Thief
thiefds,Thief - Deadly Shadows
thief2,Thief 2 The Metal Age
tw06,Tiger Woods PGA Tour 06
tw07,Tiger Woods PGA Tour 07
tw2k4,Tiger Woods PGA Tour 2004
tw2k5,Tiger Woods PGA Tour 2005
tquest,Titan Quest
tquestd,Titan Quest Demo
tquestit,Titan Quest Immortal Throne
tmntd,TMNT Demo
toca2,Toca Race Driver 2
toca3,Toca Race Driver 3
tcrsixv,Tom Clancy's Rainbow Six Vegas
traidrl,Tomb Raider - Legend
thaw,Tony Hawk's American Wasteland
thps3,Tony Hawk's Pro Skater 3
thps4,Tony Hawk's Pro Skater 4
thug2,Tony Hawk's Underground 2
tto,Toontown Online
ta,Total Annihilation
tak,Total Annihilation Kingdoms
tcm05,Total Club Manager 2005
